id,pharmacy_name,address,latitude,longitude,phone_number,opening_time,closing_time,rating
46,NetMeds Partner #46,"191 Austin Orchard Apt. 008, Brittanyton, CO 20962",11.01046793262222,77.06075620064811,+1-357-636-0172,08:00,22:00,4.3
47,Apollo Pharmacy #47,"48337 Jesse Walk, Adkinsmouth, ID 05526",10.989031556223605,77.00528168030793,902-274-5210x1196,08:00,22:00,4.76
48,HealthFirst Pharmacy #48,"599 Patricia Summit Apt. 038, New Zachary, OH 08891",11.068485442572726,76.99935845050251,798-563-7154x9250,08:00,22:00,3.89
49,Sri Medical Store #49,"4073 Fields Mountains, Lake Kelly, IA 79932",11.030361911808372,76.99158853111162,+1-240-868-0853x72369,08:00,22:00,4.27
50,HealthFirst Pharmacy #50,"0470 Alexander Parkways Apt. 783, Sandraberg, AS 08549",10.999602547575567,77.00041604202453,262-565-5475,08:00,22:00,3.61
51,CarePlus Pharmacy #51,"2300 Scott Mall Suite 304, Christopherview, PA 02728",11.022811096509248,77.06024401685251,(576)231-3314,08:00,22:00,4.46
52,MedPlus #52,"1065 Kristin Islands Suite 029, Chavezberg, AK 94264",11.050886210614086,77.02103628172836,+1-565-661-6661x53991,08:00,22:00,3.92
53,MedPlus #53,"4109 Walter Stream Suite 724, South Melissa, IN 19502",10.989314724903538,77.0327447090096,(843)309-5326x916,08:00,22:00,4.04
54,Apollo Pharmacy #54,"8793 Rebecca Crest, Lewisland, MP 91503",11.026204332800399,77.03146237589752,(696)412-9553x51139,08:00,22:00,4.5
55,NetMeds Partner #55,"3699 Owens Run Suite 293, North Ericfurt, WV 54455",11.005946178652252,77.02710520887922,756-488-8503,08:00,22:00,3.99
56,WellCare Medical #56,"PSC 4199, Box 1733, APO AE 92934",11.012742578196075,77.05702553635713,(911)399-8881,08:00,22:00,4.25
57,CarePlus Pharmacy #57,"96270 Terry Crossing Apt. 798, South Christopherborough, MS 19629",10.998459523068888,77.06353136084462,7123929297,08:00,22:00,4.7
58,CarePlus Pharmacy #58,"59049 Crystal Drives Suite 335, Brooksville, WY 46925",11.018834226542587,76.99117517944741,9576407238,08:00,22:00,4.34
59,CarePlus Pharmacy #59,"Unit 6156 Box 4618, DPO AP 51479",11.047064681692136,77.02648741898975,403-666-1175,08:00,22:00,4.79
60,CityCare Medicals #60,"94084 Javier Centers, South Anthonytown, AS 03935",11.060308582022666,77.07065635571665,+1-583-723-0185x9181,08:00,22:00,3.84
61,CarePlus Pharmacy #61,"48000 Lawrence Hills Apt. 008, Port Keith, SC 14553",11.05605173533769,77.01726708869504,+1-520-809-9633x17841,08:00,22:00,3.54
62,Sri Medical Store #62,"5082 Bradley Square, Thompsonfort, KY 08585",11.002519984901072,76.98607941824122,001-892-587-5808x9559,08:00,22:00,4.57
63,CityCare Medicals #63,"Unit 3567 Box 3208, DPO AA 36563",11.02325789285743,77.03102144528978,001-922-902-7995,08:00,22:00,4.0
64,Sri Medical Store #64,"92797 Haney Square Apt. 459, Sarahton, PW 37556",11.06562493323739,77.06077587628904,948-287-3490,08:00,22:00,4.66
65,WellCare Medical #65,"8022 Anne Lock, West Jacob, VT 97169",11.005119253970665,76.98700066112121,(658)347-2161x82892,08:00,22:00,3.54
66,CarePlus Pharmacy #66,"60577 Martin Canyon Apt. 369, Port Kimberly, VA 44720",10.998694145104336,77.00166337016086,+1-797-981-1796x9184,08:00,22:00,3.56
67,CityCare Medicals #67,"332 Salas Cliffs Apt. 001, New Douglaston, ID 56424",11.02785468443621,77.03796969869467,979.599.8815x05304,08:00,22:00,4.11
68,MedPlus #68,"18405 Kathleen Loop Apt. 582, Boyerbury, SC 42374",10.98560751084496,77.03564514912632,292-314-6224x37994,08:00,22:00,4.1
69,Community Pharmacy #69,"406 Gray Divide, Bradshawstad, AK 67627",11.039223968998892,77.04910488594692,001-689-912-0980,08:00,22:00,4.56
70,WellCare Medical #70,"1891 Amanda Locks, West Andrew, PR 10574",11.011243219651895,77.0657808047494,001-392-366-5430x98870,08:00,22:00,3.91
71,Community Pharmacy #71,"2804 Carl Orchard Suite 777, Port Tiffanyfort, WI 16498",11.045524373692691,77.00392611876036,001-853-965-8721x964,08:00,22:00,4.25
72,Sri Medical Store #72,"35206 Butler Stream, Jerryfort, PA 48027",11.06601398065516,77.00360683716453,+1-370-373-9150x4069,08:00,22:00,4.27
73,Apollo Pharmacy #73,"08578 Wright Stream, Jameston, TN 14913",11.06985996121119,77.06098075432323,7329712849,08:00,22:00,4.76
74,WellCare Medical #74,"587 Pineda Islands Apt. 032, Annahaven, NH 22024",11.005502527655084,77.06293665549616,346.924.4883,08:00,22:00,4.81
75,NetMeds Partner #75,"8405 Cory Underpass Suite 833, Nguyenport, MS 35472",11.043015214369092,77.03339922720549,(900)563-4438,08:00,22:00,3.54
76,WellCare Medical #76,"8090 Keith Street Suite 019, Hernandezburgh, CA 57524",11.047861025270471,76.98274605929308,(824)200-4992,08:00,22:00,3.68
77,CarePlus Pharmacy #77,"19712 Stephen Ferry, Laurenberg, WV 52440",11.064459727122058,77.00499548884072,(851)405-8803x52664,08:00,22:00,3.65
78,NetMeds Partner #78,"89613 Zachary Burg Suite 851, East Anthonyville, VA 13617",11.059003216447962,77.0052735398356,+1-251-237-6878x6231,08:00,22:00,3.67
79,NetMeds Partner #79,"829 Anderson Keys Apt. 028, North Lindsaybury, VT 35212",11.045156095825275,76.99763479939863,(783)629-4797x7633,08:00,22:00,3.76
80,Apollo Pharmacy #80,"4339 Bridget Trafficway Suite 719, Christinachester, MP 22327",11.028889930576492,76.99556916350922,668-974-8893x86776,08:00,22:00,3.87
81,HealthFirst Pharmacy #81,"6848 Grace Port, New Anthony, TX 83962",11.058460810128034,77.05065713161329,675-584-9858x113,08:00,22:00,4.13
82,MedPlus #82,"10386 Simmons Fields, East Joshuastad, MP 49179",11.006147819667271,77.06412947914787,(612)935-0629x28723,08:00,22:00,4.69
83,MedPlus #83,"2716 Patrick Meadows Suite 881, Manningmouth, IL 16313",11.052775252352765,77.0397214808739,001-303-396-8028x50210,08:00,22:00,4.98
84,Community Pharmacy #84,"Unit 1082 Box 7893, DPO AE 91002",10.984946702010117,76.98187938962191,2017695552,08:00,22:00,4.3
85,Sri Medical Store #85,"31922 Mendez Road Suite 637, Edwardsbury, GA 56071",10.988580465962634,77.01880317501538,+1-778-244-8185,08:00,22:00,4.31
86,LifeLine Pharmacy #86,"PSC 1355, Box 3930, APO AP 60607",10.989454825952922,76.9869324782163,248-502-9027x3725,08:00,22:00,3.62
87,CityCare Medicals #87,"USNS James, FPO AP 70587",11.06380523767256,76.99367571206191,(370)345-4983x057,08:00,22:00,4.65
88,MedPlus #88,"Unit 1828 Box 8548, DPO AP 11051",11.056091239564447,77.0290592578839,001-756-890-2233x606,08:00,22:00,4.58
89,Community Pharmacy #89,"186 Wallace Villages Apt. 093, Adamville, GA 34004",11.04952199245795,77.00885439104707,+1-289-291-8131x95351,08:00,22:00,4.29
90,Apollo Pharmacy #90,"733 Montes Walks Suite 342, North Brendahaven, WY 52505",11.035313238779647,77.0146838541631,343-475-0969,08:00,22:00,4.23
91,WellCare Medical #91,"700 Rebecca Way Suite 623, East Ethan, SD 52180",11.057987599751275,77.01313769717288,(248)533-5964x21858,08:00,22:00,4.41
92,LifeLine Pharmacy #92,"43982 Brandon Falls Apt. 254, Ryanborough, GA 50523",11.038288685609729,77.04871212708902,(997)493-9301x544,08:00,22:00,4.54
93,NetMeds Partner #93,"860 Smith Underpass, Jamieton, AR 97373",10.98487542003354,77.0451709795032,(609)663-4808,08:00,22:00,3.87
94,Apollo Pharmacy #94,"9965 Nielsen Square, South Jacqueline, WA 83233",10.986334987109487,77.03289821126045,001-909-752-6764x352,08:00,22:00,4.01
95,CarePlus Pharmacy #95,"971 Hernandez Flats Suite 784, Perezburgh, NH 67954",11.017170744501902,77.026116457009,576-637-0359x855,08:00,22:00,4.25
96,WellCare Medical #96,"367 Guzman Oval, Chaneyville, NE 66576",10.983412864641217,77.02145430436944,619-856-2839x4796,08:00,22:00,4.2
97,WellCare Medical #97,"16603 Garrett Squares Suite 093, South Scottview, HI 92135",11.003846143786031,76.99790952421498,938.391.6485,08:00,22:00,3.98
98,NetMeds Partner #98,"04629 Green Lakes Suite 286, Davisborough, AL 74068",11.051056183739634,77.05504179303965,271.997.5042,08:00,22:00,4.81
99,WellCare Medical #99,"2066 Peggy Mall, Markport, MO 74133",11.027783215641849,77.01695037672964,640-709-8337,08:00,22:00,4.08
100,WellCare Medical #100,"05229 Todd Mission Apt. 835, East Bryanchester, SD 71551",11.047344226633266,76.99551511009412,824-943-7113,08:00,22:00,4.02
